Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Filipstadsbacken 38,41194.02985074627,True,Farsta Strand,True,3.0,"Farsta Strand,Stockholm",3790.0,Stockholms kommun,False,2760000,67.0,3.0,59.239268,18.1043637,59.3324,18.0645,10.600395386039153
Grevgatan 19,147105.26315789475,True,Östermalm,True,4.0,"Östermalm,Stockholm",1646.0,Stockholms kommun,False,5590000,38.0,2.0,59.3337487,18.0844385,59.3324,18.0645,1.1407048273065152
Larsbodavägen 48,39220.77922077922,True,Farsta,True,4.0,"Farsta,Stockholm",5069.0,Stockholms kommun,False,3020000,77.0,3.0,59.244150755218236,18.09565893223029,59.3324,18.0645,9.971132948877889
Vårholmsbackarna 52,24329.26829268293,True,Vårberg,False,2.0,"Vårberg,Stockholm",7232.0,Stockholms kommun,False,1995000,82.0,3.0,59.2773468,17.8864576,59.3324,18.0645,11.815461778390462
Skarpövägen 35,28024.69135802469,True,Västra Orminge,True,1.0,"Västra Orminge,Nacka",5985.0,Nacka kommun,False,2270000,81.0,3.0,59.333114949999995,18.256032874974984,59.3324,18.0645,10.863095160173028
Birger Jarlsgatan 103A,124523.80952380953,False,Vasastan,False,4.0,"Vasastan,Stockholm",2122.0,Stockholms kommun,False,5230000,42.0,2.0,59.3478519,18.0602239,59.3324,18.0645,1.7351968922633079
Attundavägen 10,52678.57142857143,True,Täby Centrum,True,3.0,"Täby Centrum,Täby",4277.0,Täby kommun,False,2950000,56.0,2.0,59.35190565,17.927513724416414,59.3324,18.0645,8.064191588456548
Herrgårdsvägen 10A,33620.68965517241,True,Centrala Väsby,False,2.0,"Centrala Väsby,Upplands Väsby",4327.0,Upplands Väsby kommun,False,1950000,58.0,2.0,59.2162305,18.19428563922925,59.3324,18.0645,14.873753132300415
Ingemarsgatan 2,100555.55555555556,False,Vasastan,False,2.0,"Vasastan,Stockholm",2387.0,Stockholms kommun,False,5430000,54.0,2.0,59.3496217,18.0582522,59.3324,18.0645,1.9474579951761308
Oxenstiernas Allé 12,45363.63636363636,True,Ursvik,True,1.0,"Ursvik,Sundbyberg",2847.0,Sundbybergs kommun,False,2495000,55.0,2.0,59.3827945,17.9453665,59.3324,18.0645,8.77418258855292
Slätbaksvägen 6,66292.13483146067,True,Årsta,False,2.0,"Årsta,Stockholm",3147.0,Stockholms kommun,False,2950000,44.5,2.0,59.297426,18.0609462,59.3324,18.0645,3.8941563789482414
Kälkbacken 17B,33281.25,True,Rikstens Friluftsstad,False,2.0,"Rikstens Friluftsstad,Botkyrka",7152.0,Botkyrka kommun,False,3195000,96.0,5.0,59.29066885,17.967962331885367,59.3324,18.0645,7.1796210641493525
Fjärdholmsgränd 9B,20408.163265306124,True,Vårberg,True,3.0,"Vårberg,Stockholm",8651.0,Stockholms kommun,False,2000000,98.0,3.0,59.2766313,17.8881478,59.3324,18.0645,11.775302504063244
Emils gata 22,56125.65445026178,True,Bromma,True,4.0,"Bromma,Stockholm",6215.0,Stockholms kommun,False,5360000,95.5,4.0,59.3626987,17.947874,59.3324,18.0645,7.420478341429575
Ronnebyvägen 13,69122.80701754386,True,Björkhagen,False,3.0,"Björkhagen,Stockholm",3446.0,Stockholms kommun,False,3940000,57.0,2.0,59.29524,18.1165303,59.3324,18.0645,5.078483414720322
